item code,description,quantity
73H M Black,Samsonite 73H SP71/26 EXP(WOB) Black HQ2(*)09002,1
ABD369,ABD Textile Sentil t-towel designx3,20
ABD616,Luggage Cover Transparent Cabin,9
ABD617,Luggage Cover Transparent Medium,10
ABD618,Luggage Cover Transparent Large,6
ABD7758,Wine Opener MH7758,1
ABD9999,Whisky Hip Bottle SS MH9999,2
Aerostep L Orange,AT AEROSTEP 77CM Orange,1
Aerostep M Orange,AT AEROSTEP 67CM Orange,1
Bass Rolling Tote,AT Bass Rolling Tote TI6(*)09103,1
BP Cov.Essens M Blk,Samsonite Tra.Essens BP Cover M Blk HC1(*)09059,1
CHARGER POUCH Black,Harrisons CHARGER POUCH Black,2
CHARGER POUCH Nblue,Harrisons CHARGER POUCH Navy Blue,4
CHARGER POUCH Red,Harrisons CHARGER POUCH Red,2
C-Lite 55cm Black,Samsonite C-Lite 55cm Black CS2(*)09007,1
C-Lite 55cm MetaGrn,Samsonite C-Lite 55cm Metallic Green CS2(*)14007,1
C-Lite 55cm MidBlue,Samsonite C-Lite 55cm MidBlue CS2(*)31007,1
C-Lite 75cm Black,Samsonite C-Lite 75cm Black CS2(*)09004,1
C-Lite 75cm MetaGrn,Samsonite C-Lite 75cm METALLIC GREEN CS2(*)14004,1
C-Lite 75cm MidBlue,Samsonite C-Lite 75cm MidBlue CS2(*)31004,1
Cube L Aqua,SAMSONITE CUBE-048 77CM AQ-TURQ HM2(*)21003,1
Cube XL Aqua,SAMSONITE CUBE-048 81CM AQ-TURQ HM2(*)21004,1
Digital Lug Scale,AT ACC-DIGITAL LUGGAGE SCALE - BLACK Z19(*)09 049,4
DOLPHIN Red Dk Gry,Harrisons DOLPHIN DX bag Red D.Grey,3
Essens C Graphite,Samsonite Essens 55cm Graphite KM0(*)28001,1
Essens C RadYellow,Samsonite Essens 55cm Radiant Yellow KM0(*)36001,2
Essens L Graphite,Samsonite Essens 75cm Graphite KMO(*)28003,1
Essens L MidBlu,Samsonite Essens 75cm Midnight Blue KMO(*)11003,2
Essens L RadYellow,Samsonite Essens 75cm Radiant Yellow KMO(*)36003,1
Essens XL Graphite,Samsonite Essens 81cm Graphite KMO(*)28004,1
Essens XL MidBlu,Samsonite Essens 81cm Midnight Blue KMO(*)11004,1
EVOA Z C Black,SAMSONITE EVOA Z SP55 Black QX0(*)09001,1
EVOA Z C Iv Gold,SAMSONITE EVOA Z SP55 Iv Gold QX0(*)13001,1
EVOA Z C Silver,SAMSONITE EVOA Z SP55 Silver QX0(*)25001,1
EVOA Z L Black,SAMSONITE EVOA Z SP75/28EXP Black QX0(*)09003,1
EVOA Z L Silver,SAMSONITE EVOA Z SP75/28EXP Silver QX0(*)25003,1
EVOA Z XL Black,SAMSONITE EVOA Z SP81/30EXP Black QX0(*)09004,1
EVOA Z XL Iv Gold,SAMSONITE EVOA Z SP81/30EXP IVo Gold QX0(*)13004,1
EVOA Z XL Silver,SAMSONITE EVOA Z SP81/30EXP Silver QX0(*)25004,1
Flatform C DkMoss,Samsonite Flatform 55/20 DkMoss UMO(*)18001,1
Flatform C Ivory,Samsonite Flatform 55/20 Ivory UMO(*)15001,1
Flatform C MetGrn,Samsonite Flatform 55/20 MetGrn UMO(*)14001,1
Flatform L DkMoss,Samsonite Flatform75/28 DkMoss UMO(*)18003,1
Flatform L Ivory,Samsonite Flatform 75/28 Ivory UMO(*)15003,2
Flatform L MetGrn,Samsonite Flatform 75/28 MetGrn UMO(*)14003,1
Flatform M Ivory,Samsonite Flatform 66/24 Ivory UMO(*)15002,1
Flatform M MetGrn,Samsonite Flatform 66/24 MetGrn UMO(*)14002,1
Hexel L Black,Samsonite Hexel 79/28 Black AZ7(*)09003,2
Hexel L Navy,Samsonite Hexel 79/28 Navy AZ7(*)41003,2
Intuo C Blk Easy Acc,SAMSONITE Intuo Easy Access 55cm KL9(*)09005 Black,2
Intuo C BLN Easy Acc,SAMSONITE Intuo Easy Access 55cm KL9(*)01005 BlueN,3
Intuo C OLG Easy Acc,SAMSONITE Intuo Easy Access 55cm KL9(*)24005 OliGr,2
Intuo L Black,SAMSONITE Intuo75cm KL9(*)09003 Black,1
Intuo L BlueN,SAMSONITE Intuo 75cm KL9(*)01003 BlueN,1
Intuo L OliGrn,SAMSONITE Intuo 75cm KL9(*)24003 OliGr,1
Intuo M Black,SAMSONITE Intuo 69cm KL9(*)09002 Black,1
Intuo M BlueN,SAMSONITE Intuo 69cm KL9(*)01002 BlueN,2
Intuo M OliGrn,SAMSONITE Intuo 69cm KL9(*)24002 OliGr,1
Minter C Black,SAMSONITE Minter 55cm Black HH5(*)09001,1
Minter C Ivory,SAMSONITE Minter 55cm Ivory HH5(*)45001,1
Minter C Navy,SAMSONITE Minter 55cm Navy HH5(*)41001,1
Minter L BLack,SAMSONITE Minter 75cm Black HH5(*)09003,1
Minter L Ivory,SAMSONITE Minter 75cm Ivory HH5(*)45003,1
Minter L Navy,SAMSONITE Minter 75cm Navy HH5(*)41003,1
Minter XL Black,SAMSONITE Minter 81cm Black HH5(*)09004,1
Minter XL Ivory,SAMSONITE Minter 81cm Ivory HH5(*)45004,1
Minter XL Navy,SAMSONITE Minter 81cm Navy HH5(*)41004,1
Octolite Neo C Black,SAMSONITE Octolite Neo 55cm EXP Black UC5(*)09001,2
Octolite Neo C Green,SAMSONITE Octolite Neo 55cm EXP Green UC5(*)04001,1
Octolite Neo L Black,SAMSONITE Octolite Neo 75cm EXP Black UC5(*)09003,1
Octolite Neo M Black,SAMSONITE Octolite Neo 68cm EXP Black UC5(*)09002,1
Octolite Neo M Green,SAMSONITE Octolite Neo 68cm EXP Green UC5(*)04002,1
Octolite Neo M OffWh,SAMSONITE Octolite Neo 68cm EXP OffWhi UC5(*)35002,1
Paralux C Black,Samsonite Paralux HS 55/30 Exp Black KT2(*)09001,1
Paralux C MidN,Samsonite Paralux HS 55/30 Exp MNavy KT2(*)41001,1
Paralux C Olive,Samsonite Paralux HS 55/30 Exp Olive KT2(*)04001,1
Paralux L Black,Samsonite Paralux HS 75/28 Exp Black KT2(*)09003,2
Paralux L MidN,Samsonite Paralux HS 75/28 Exp MNavy KT2(*)41003,1
Paralux L Olive,Samsonite Paralux HS 75/28 Exp Olive KT2(*)04003,1
Paralux XL Black,Samsonite Paralux HS 81/30 Exp Black KT2(*)09004,1
Paralux XL MidN,Samsonite Paralux HS 81/30 Exp MNavy KT2(*)41004,1
Paralux XL Olive,Samsonite Paralux HS 81/30 Exp Olive KT2(*)04004,1
Pillow Brn Bear,Samsonite GLOBAL BEAR PILLOW Brown C01(*)03028,1
Pillow Glo Infl Grap,Samsonite GLOBAL Pillow Infl. GraphiteCO1(*)38015,2
Preston Set2B Red,AT PRESTON 2PC Set B EXP(55/77) Red AG9(*)00011,1
Restackd C Black,SAMSONITE Restackd 55cm KO6(*)09001 Black,1
Restackd C Midnight,SAMSONITE Restackd 55cm KO6(*)59001 Midnight,1
Restackd C Sage,SAMSONITE Restackd 55cm KO6(*)04001 Sage,1
Restackd L Black,SAMSONITE Restackd 75cm KO6(*)09004 Black,1
Restackd L Rose,SAMSONITE Restackd 75cm KO6(*)80004 Rose,1
Restackd L Sage,SAMSONITE Restackd 75cm KO6(*)04004 Sage,2
Restackd XL Black,SAMSONITE Restackd 81cm KO6(*)09005 Black,1
Restackd XL Rose,SAMSONITE Restackd 81cm KO6(*)80005 Rose,1
Roader DF S Blk,Samsonite Duffle Roader S Deep Black  KJ2(*)09006,3
Robotech C Citr,AT Robotech 55cm V2-Citron Yellow,1
Robotech M Citr,AT Robotech 67cm Citron Yellow,1
Robotech XL Citr,AT Robotech 81cm Citron Yellow,1
SOLO POUCH NBlue,Harrisons SOLO POUCH Navy Blue,2
Synch C Black,SAMSONITE SYNCH SP57/20 EXP Black HN5(*)09001,1
Synch C Navy,SAMSONITE SYNCH SP57/20 EXP Navy HN5(*)41001,1
Synch M Navy,SAMSONITE SYNCH SP67/24 EXP Navy HN5(*)41002,1
Trento+ C Matc,Trento+ Cabin Matcha,1
Upscape C Black,SAMSONITE Upscape 55cm KJ1(*)09001 Black,2
Upscape C W Neutral,SAMSONITE Upscape 55cm KJ1(*)02001 Warm Neutral,1
Upscape C Yellow,SAMSONITE Upscape 55cm KJ1(*)06001 Yellow,2
Upscape L Black,SAMSONITE Upscape 75cm KJ1(*)09003 Black,1
Upscape L W Neutral,SAMSONITE Upscape 75cm KJ1(*)02003 Warm Neutral,1
Upscape L Yellow,SAMSONITE Upscape 75cm KJ1(*)06003 Yellow,1
Upscape XL Black,SAMSONITE Upscape 81cm KJ1(*)09004 Black,2
VIKTOR Black,Harrisons VIKTOR Travel Bag Black,1
Voypod C Black,SAMSONITE VOYPOD SP55 Exp Black UP0(*)09001,1
Voypod C Ivory,SAMSONITE VOYPOD SP55 Exp Ivory UP0(*)45001,1
Voypod L Black,SAMSONITE VOYPOD SP77 Exp Black UP0(*)09003,1
Voypod L Ivory,SAMSONITE VOYPOD SP77 Exp Ivory UP0(*)45003,1
Voypod M Black,SAMSONITE VOYPOD SP68 Exp Black UP0(*)09002,1
Voypod M Ivory,SAMSONITE VOYPOD SP68 Exp Ivory UP0(*)45002,1
Zipprix C Ny,Samsonite Zipprix 55/20 EXP Navy UE9(*)41001,1
Zipprix C Sil,Samsonite Zipprix 55/20 EXP Silver UE9(*)25001,1
Zipprix L Ny,Samsonite Zipprix 75/25 EXP Navy UE9(*)41003,1
Zipprix L Sil,Samsonite Zipprix 75/28 EXP Silver UE9(*)25003,1
Zipprix M Gme,Samsonite Zipprix 68/25 EXP GunMetal UE9(*)48002,1
Zipprix M Ny,Samsonite Zipprix 68/25 EXP Navy UE9(*)41002,1
Zipprix M Sil,Samsonite Zipprix 68/25 EXP Silver UE9(*)25002,1
Zira M Black,SAMSONITE Zira 67cm Black EXP DK9(*)09002,1
